,Oregon,Portugal_1,France_3,Portugal_2,Florida_1,Italy_5,California_3,Italy_4,California_4,France_2,Spain_5,Spain_3,Arizona,Italy_1,Portugal_3,Florida_2,Spain_1,Spain_4,Spain_2,California_5,Italy_3,California_2,France_1,France_4,California_6,Italy_2,California_1,Florida_3,Italy_6
Oregon,0,0.2503149,0.3755367,0.2984004,0.3665026,0.5264127,0.2949943,0.4653744,0.2791016,0.5196712,0.2932568,0.4342202,0.1688825,0.2788672,0.1817929,0.3140579,0.5380781,0.4173941,0.508268,0.3440674,0.6031065,0.1981235,0.4037164,0.2650325,0.2873078,0.4412722,0.1065736,0.1495955,0.3860122
Portugal_1,0.2503149,0,0.4400879,0.3534115,0.4233679,0.584831,0.4371158,0.5284167,0.3749599,0.5859051,0.3278856,0.4893404,0.2753897,0.3513487,0.2134757,0.3657193,0.5991821,0.4640184,0.5646219,0.4364127,0.6592829,0.3531887,0.4592485,0.3115569,0.3724956,0.4995949,0.2682698,0.2648188,0.4467487
France_3,0.3755367,0.4400879,0,0.4023057,0.5628457,0.4431993,0.5790014,0.3155255,0.5382336,0.4056535,0.5034156,0.3139465,0.4007009,0.1986699,0.3511826,0.5135315,0.4394399,0.4807001,0.4128376,0.5879096,0.4817762,0.4749553,0.2905331,0.3685534,0.5282506,0.3040252,0.3646828,0.4460413,0.2277047
Portugal_2,0.2984004,0.3534115,0.4023057,0,0.4894969,0.5642509,0.5072259,0.5167244,0.4531693,0.56233,0.4189988,0.4593766,0.3377238,0.3164002,0.1535006,0.4460761,0.5817038,0.2852095,0.5382894,0.521329,0.6435483,0.388878,0.4202583,0.3271942,0.4552473,0.4936905,0.2987953,0.3584309,0.4167603
Florida_1,0.3665026,0.4233679,0.5628457,0.4894969,0,0.8316166,0.6593142,0.7750793,0.4640316,0.7305635,0.4841905,0.6067105,0.362051,0.4761038,0.3359067,0.2238382,0.7510384,0.6147637,0.7398175,0.6376618,0.8530642,0.5076941,0.5882091,0.3741803,0.467175,0.7189993,0.3980446,0.3648407,0.6318653
Italy_5,0.5264127,0.584831,0.4431993,0.5642509,0.8316166,0,0.7990145,0.6742845,0.7430625,0.6563448,0.7015014,0.4938206,0.5844502,0.3728055,0.510332,0.8111134,0.6661407,0.6595764,0.6578865,0.8387089,0.8058914,0.6847671,0.4895076,0.4640338,0.7101061,0.5985015,0.5475539,0.7278994,0.4307969
California_3,0.2949943,0.4371158,0.5790014,0.5072259,0.6593142,0.7990145,0,0.7494688,0.361767,0.7254446,0.5162395,0.6248766,0.2904634,0.5001444,0.3686052,0.6331607,0.7420139,0.6202179,0.7254141,0.47228,0.8269212,0.3516398,0.6104662,0.4036648,0.3581381,0.7067961,0.2425817,0.2326739,0.637129
Italy_4,0.4653744,0.5284167,0.3155255,0.5167244,0.7750793,0.6742845,0.7494688,0,0.6935347,0.5514862,0.6534981,0.394896,0.5182662,0.2543233,0.4501999,0.7277991,0.5656774,0.6068816,0.5637299,0.7845528,0.6996818,0.6222263,0.4003006,0.4250129,0.6607401,0.413042,0.4778967,0.6196717,0.2759337
California_4,0.2791016,0.3749599,0.5382336,0.4531693,0.4640316,0.7430625,0.361767,0.6935347,0,0.6870944,0.4228798,0.5882496,0.1656253,0.4542983,0.3048757,0.4437067,0.7056542,0.5738373,0.6866529,0.260629,0.7838805,0.3451615,0.5690735,0.3558265,0.2466154,0.6548532,0.2449382,0.191497,0.5882587
France_2,0.5196712,0.5859051,0.4056535,0.56233,0.7305635,0.6563448,0.7254446,0.5514862,0.6870944,0,0.655409,0.4845108,0.5667118,0.3701646,0.5115518,0.7074327,0.588353,0.6352029,0.601765,0.743252,0.6645985,0.6240512,0.475386,0.4866607,0.6728197,0.5086154,0.5172794,0.6519889,0.4070051
